[DEBUG][2017-02-12 21:35:50,970][org.springframework.web.servlet.DispatcherServlet]Initializing servlet 'spring'
[DEBUG][2017-02-12 21:35:51,088][org.springframework.web.context.support.StandardServletEnvironment]Adding [servletConfigInitParams] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,088][org.springframework.web.context.support.StandardServletEnvironment]Adding [servletContextInitParams] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,093][org.springframework.web.context.support.StandardServletEnvironment]Adding [jndiProperties] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,094][org.springframework.web.context.support.StandardServletEnvironment]Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,096][org.springframework.web.context.support.StandardServletEnvironment]Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,096][org.springframework.web.context.support.StandardServletEnvironment]Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
[INFO][2017-02-12 21:35:51,133][org.springframework.web.servlet.DispatcherServlet]FrameworkServlet 'spring': initialization started
[DEBUG][2017-02-12 21:35:51,139][org.springframework.web.servlet.DispatcherServlet]Servlet with name 'spring' will try to create custom WebApplicationContext context of class 'org.springframework.web.context.support.XmlWebApplicationContext', using parent context [null]
[DEBUG][2017-02-12 21:35:51,168][org.springframework.web.context.support.StandardServletEnvironment]Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
[DEBUG][2017-02-12 21:35:51,169][org.springframework.web.context.support.StandardServletEnvironment]Replacing [servletConfigInitParams] PropertySource with [servletConfigInitParams]
[INFO][2017-02-12 21:35:51,170][org.springframework.web.context.support.XmlWebApplicationContext]Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Sun Feb 12 21:35:51 CST 2017]; root of context hierarchy
[DEBUG][2017-02-12 21:35:51,215][org.springframework.core.env.StandardEnvironment]Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,216][org.springframework.core.env.StandardEnvironment]Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2017-02-12 21:35:51,216][org.springframework.core.env.StandardEnvironment]Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
[INFO][2017-02-12 21:35:51,229][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from URL [file:/D:/IntelliJ%20IDEA%2015.0/workspace/looty-factory/target/looty-factory/WEB-INF/classes/spring-init.xml]
[DEBUG][2017-02-12 21:35:51,232][org.springframework.beans.factory.xml.DefaultDocumentLoader]Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
[DEBUG][2017-02-12 21:35:51,349][org.springframework.beans.factory.xml.PluggableSchemaResolver]Loading schema mappings from [META-INF/spring.schemas]
